key,region,cat1,cat2,amount,time
88,경기도,120. 수송 및 교통,121. 도로,1774588,2012
89,경기도,120. 수송 및 교통,123. 도시철도,577977,2012
90,경기도,120. 수송 및 교통,124. 해운 및 항만,6043,2012
91,경기도,120. 수송 및 교통,125. 항공 및 공항,0,2012
92,경기도,120. 수송 및 교통,"126. 대중교통, 물류 등 기타",1638520,2012
93,경기도,140. 국토 및 지역개발,141. 수자원,667626,2012
94,경기도,140. 국토 및 지역개발,142. 지역 및 도시,2044242,2012
95,경기도,140. 국토 및 지역개발,143. 산업단지,70904,2012
96,경기도,150. 과학기술,153. 과학기술일반,0,2012
97,경기도,160. 예비비,161. 예비비,1233362,2012
98,경기도,900. 기타,901. 기타,3359538,2012
99,경상남도,010. 일반공공행정,011. 입법 및 선거관리,28242,2012
100,경상남도,010. 일반공공행정,013. 지방행정 및 재정지원,659396,2012
101,경상남도,010. 일반공공행정,014. 재정 및 금융,502872,2012
102,경상남도,010. 일반공공행정,016. 일반행정,505472,2012
103,경상남도,020. 공공질서 및 안전,023. 경찰,0,2012
104,경상남도,020. 공공질서 및 안전,025. 재난방재 및 민방위,340290,2012
105,경상남도,050. 교육,051. 유아 및 초중등 교육,529430,2012
106,경상남도,050. 교육,052. 고등교육,183,2012
107,경상남도,050. 교육,053. 평생 및 직업교육,54565,2012
108,경상남도,060. 문화 및 관광,061. 문화예술,176868,2012
109,경상남도,060. 문화 및 관광,062. 관광,198951,2012
110,경상남도,060. 문화 및 관광,063. 체육,391959,2012
111,경상남도,060. 문화 및 관광,064. 문화재,128358,2012
112,경상남도,060. 문화 및 관광,065. 문화 및 관광 일반,28314,2012
113,경상남도,070. 환경보호,071. 상하수도 및 수질,1341887,2012
114,경상남도,070. 환경보호,072. 폐기물,277660,2012
115,경상남도,070. 환경보호,073. 대기,11387,2012
116,경상남도,070. 환경보호,074. 자연,71703,2012
117,경상남도,070. 환경보호,075. 해양,2306,2012
118,경상남도,070. 환경보호,076. 환경보호일반,66632,2012
119,경상남도,080. 사회복지,081. 기초생활보장,1123825,2012
120,경상남도,080. 사회복지,082. 취약계층지원,407021,2012
121,경상남도,080. 사회복지,"084. 보육, 가족 및 여성",955092,2012
122,경상남도,080. 사회복지,085. 노인 및 청소년,922483,2012
123,경상남도,080. 사회복지,086. 노동,54742,2012
124,경상남도,080. 사회복지,087. 보훈,27583,2012
125,경상남도,080. 사회복지,088. 주택,70015,2012
126,경상남도,080. 사회복지,089. 사회복지일반,40520,2012
127,경상남도,090. 보건,091. 보건의료,239537,2012
128,경상남도,090. 보건,093. 식품의약안전,3334,2012
129,경상남도,100. 농림해양수산,101. 농업 및 농촌,1310742,2012
130,경상남도,100. 농림해양수산,102. 임업 및 산촌,391390,2012
131,경상남도,100. 농림해양수산,103. 해양수산 및 어촌,203018,2012
132,경상남도,110. 산업 및 중소기업,112. 산업기술지원,21838,2012
133,경상남도,110. 산업 및 중소기업,113. 무역 및 투자유치,70671,2012
134,경상남도,110. 산업 및 중소기업,114. 산업진흥 및 고도화,236407,2012
135,경상남도,110. 산업 및 중소기업,115. 에너지 및 자원개발,77619,2012
136,경상남도,110. 산업 및 중소기업,116. 산업 및 중소기업 일반,107029,2012
137,경상남도,120. 수송 및 교통,121. 도로,642626,2012
138,경상남도,120. 수송 및 교통,123. 도시철도,30246,2012
139,경상남도,120. 수송 및 교통,124. 해운 및 항만,30179,2012
140,경상남도,120. 수송 및 교통,125. 항공 및 공항,0,2012
141,경상남도,120. 수송 및 교통,"126. 대중교통, 물류 등 기타",468728,2012
142,경상남도,140. 국토 및 지역개발,141. 수자원,390773,2012
143,경상남도,140. 국토 및 지역개발,142. 지역 및 도시,842355,2012
144,경상남도,140. 국토 및 지역개발,143. 산업단지,162670,2012
145,경상남도,150. 과학기술,153. 과학기술일반,0,2012
146,경상남도,160. 예비비,161. 예비비,212674,2012
147,경상남도,900. 기타,901. 기타,1646809,2012
148,경상북도,010. 일반공공행정,011. 입법 및 선거관리,29365,2012
149,경상북도,010. 일반공공행정,013. 지방행정 및 재정지원,633572,2012
150,경상북도,010. 일반공공행정,014. 재정 및 금융,409140,2012
151,경상북도,010. 일반공공행정,016. 일반행정,669565,2012
152,경상북도,020. 공공질서 및 안전,023. 경찰,3,2012
153,경상북도,020. 공공질서 및 안전,025. 재난방재 및 민방위,600014,2012
154,경상북도,050. 교육,051. 유아 및 초중등 교육,31580,2012
155,경상북도,050. 교육,052. 고등교육,5713,2012
156,경상북도,050. 교육,053. 평생 및 직업교육,21440,2012
157,경상북도,060. 문화 및 관광,061. 문화예술,206206,2012
158,경상북도,060. 문화 및 관광,062. 관광,442398,2012
159,경상북도,060. 문화 및 관광,063. 체육,228707,2012
160,경상북도,060. 문화 및 관광,064. 문화재,196529,2012
161,경상북도,060. 문화 및 관광,065. 문화 및 관광 일반,88700,2012
162,경상북도,070. 환경보호,071. 상하수도 및 수질,1675521,2012
163,경상북도,070. 환경보호,072. 폐기물,280719,2012
164,경상북도,070. 환경보호,073. 대기,13213,2012
165,경상북도,070. 환경보호,074. 자연,43238,2012
166,경상북도,070. 환경보호,075. 해양,9161,2012
167,경상북도,070. 환경보호,076. 환경보호일반,41690,2012
168,경상북도,080. 사회복지,081. 기초생활보장,1138583,2012
169,경상북도,080. 사회복지,082. 취약계층지원,401792,2012
170,경상북도,080. 사회복지,"084. 보육, 가족 및 여성",717153,2012
171,경상북도,080. 사회복지,085. 노인 및 청소년,1038456,2012
172,경상북도,080. 사회복지,086. 노동,80692,2012
173,경상북도,080. 사회복지,087. 보훈,26506,2012
174,경상북도,080. 사회복지,088. 주택,21211,2012
175,경상북도,080. 사회복지,089. 사회복지일반,31687,2012
176,경상북도,090. 보건,091. 보건의료,214347,2012
177,경상북도,090. 보건,093. 식품의약안전,8499,2012
178,경상북도,100. 농림해양수산,101. 농업 및 농촌,1729416,2012
179,경상북도,100. 농림해양수산,102. 임업 및 산촌,435556,2012
180,경상북도,100. 농림해양수산,103. 해양수산 및 어촌,190128,2012
181,경상북도,110. 산업 및 중소기업,112. 산업기술지원,61,2012
182,경상북도,110. 산업 및 중소기업,113. 무역 및 투자유치,39533,2012
183,경상북도,110. 산업 및 중소기업,114. 산업진흥 및 고도화,158264,2012
184,경상북도,110. 산업 및 중소기업,115. 에너지 및 자원개발,79042,2012
185,경상북도,110. 산업 및 중소기업,116. 산업 및 중소기업 일반,65980,2012
186,경상북도,120. 수송 및 교통,121. 도로,603207,2012
187,경상북도,120. 수송 및 교통,123. 도시철도,22437,2012
188,경상북도,120. 수송 및 교통,124. 해운 및 항만,3334,2012
189,경상북도,120. 수송 및 교통,125. 항공 및 공항,50,2012
190,경상북도,120. 수송 및 교통,"126. 대중교통, 물류 등 기타",288962,2012
191,경상북도,140. 국토 및 지역개발,141. 수자원,213357,2012
192,경상북도,140. 국토 및 지역개발,142. 지역 및 도시,1278233,2012
193,경상북도,140. 국토 및 지역개발,143. 산업단지,172712,2012
194,경상북도,150. 과학기술,153. 과학기술일반,0,2012
195,경상북도,160. 예비비,161. 예비비,228935,2012
196,경상북도,900. 기타,901. 기타,1833723,2012
197,광주광역시,010. 일반공공행정,011. 입법 및 선거관리,6740,2012
198,광주광역시,010. 일반공공행정,013. 지방행정 및 재정지원,384853,2012
199,광주광역시,010. 일반공공행정,014. 재정 및 금융,3204,2012
200,광주광역시,010. 일반공공행정,016. 일반행정,121693,2012
201,광주광역시,020. 공공질서 및 안전,023. 경찰,0,2012
202,광주광역시,020. 공공질서 및 안전,025. 재난방재 및 민방위,30233,2012
203,광주광역시,050. 교육,051. 유아 및 초중등 교육,193716,2012
204,광주광역시,050. 교육,052. 고등교육,29,2012
205,광주광역시,050. 교육,053. 평생 및 직업교육,33548,2012
206,광주광역시,060. 문화 및 관광,061. 문화예술,99654,2012
207,광주광역시,060. 문화 및 관광,062. 관광,6629,2012
208,광주광역시,060. 문화 및 관광,063. 체육,138166,2012
209,광주광역시,060. 문화 및 관광,064. 문화재,7671,2012
210,광주광역시,060. 문화 및 관광,065. 문화 및 관광 일반,18445,2012
211,광주광역시,070. 환경보호,071. 상하수도 및 수질,254513,2012
212,광주광역시,070. 환경보호,072. 폐기물,96283,2012
213,광주광역시,070. 환경보호,073. 대기,7585,2012
214,광주광역시,070. 환경보호,074. 자연,3392,2012
215,광주광역시,070. 환경보호,075. 해양,0,2012
216,광주광역시,070. 환경보호,076. 환경보호일반,3524,2012
217,광주광역시,080. 사회복지,081. 기초생활보장,639775,2012
218,광주광역시,080. 사회복지,082. 취약계층지원,192020,2012
219,광주광역시,080. 사회복지,"084. 보육, 가족 및 여성",504919,2012
220,광주광역시,080. 사회복지,085. 노인 및 청소년,283319,2012
221,광주광역시,080. 사회복지,086. 노동,32530,2012
222,광주광역시,080. 사회복지,087. 보훈,2440,2012
223,광주광역시,080. 사회복지,088. 주택,2695,2012
224,광주광역시,080. 사회복지,089. 사회복지일반,22506,2012
225,광주광역시,090. 보건,091. 보건의료,60071,2012
226,광주광역시,090. 보건,093. 식품의약안전,1165,2012
227,광주광역시,100. 농림해양수산,101. 농업 및 농촌,45625,2012
228,광주광역시,100. 농림해양수산,102. 임업 및 산촌,7818,2012
229,광주광역시,100. 농림해양수산,103. 해양수산 및 어촌,0,2012
230,광주광역시,110. 산업 및 중소기업,112. 산업기술지원,0,2012
231,광주광역시,110. 산업 및 중소기업,113. 무역 및 투자유치,3269,2012
232,광주광역시,110. 산업 및 중소기업,114. 산업진흥 및 고도화,72649,2012
233,광주광역시,110. 산업 및 중소기업,115. 에너지 및 자원개발,8977,2012
234,광주광역시,110. 산업 및 중소기업,116. 산업 및 중소기업 일반,1212,2012
235,광주광역시,120. 수송 및 교통,121. 도로,163506,2012
236,광주광역시,120. 수송 및 교통,123. 도시철도,7173,2012
237,광주광역시,120. 수송 및 교통,124. 해운 및 항만,0,2012
238,광주광역시,120. 수송 및 교통,125. 항공 및 공항,0,2012
239,광주광역시,120. 수송 및 교통,"126. 대중교통, 물류 등 기타",222553,2012
240,광주광역시,140. 국토 및 지역개발,141. 수자원,24559,2012
241,광주광역시,140. 국토 및 지역개발,142. 지역 및 도시,193717,2012
242,광주광역시,140. 국토 및 지역개발,143. 산업단지,72215,2012
243,광주광역시,150. 과학기술,153. 과학기술일반,0,2012
244,광주광역시,160. 예비비,161. 예비비,56810,2012
245,광주광역시,900. 기타,901. 기타,497816,2012
246,대구광역시,010. 일반공공행정,011. 입법 및 선거관리,10696,2012
247,대구광역시,010. 일반공공행정,013. 지방행정 및 재정지원,324146,2012
248,대구광역시,010. 일반공공행정,014. 재정 및 금융,499681,2012
249,대구광역시,010. 일반공공행정,016. 일반행정,144651,2012
250,대구광역시,020. 공공질서 및 안전,023. 경찰,0,2012
251,대구광역시,020. 공공질서 및 안전,025. 재난방재 및 민방위,89202,2012
252,대구광역시,050. 교육,051. 유아 및 초중등 교육,6042,2012
253,대구광역시,050. 교육,052. 고등교육,0,2012
